237405it [22:09:00,  3.02it/s]tf.Tensor(2253.4878, shape=(), dtype=float32)
237406it [22:09:00,  3.00it/s]tf.Tensor(2038.5205, shape=(), dtype=float32)
237407it [22:09:00,  2.99it/s]tf.Tensor(3489.1655, shape=(), dtype=float32)
237408it [22:09:01,  2.99it/s]tf.Tensor(2748.4402, shape=(), dtype=float32)
237409it [22:09:01,  2.99it/s]tf.Tensor(3049.2393, shape=(), dtype=float32)
237410it [22:09:01,  2.99it/s]tf.Tensor(1785.1594, shape=(), dtype=float32)
237411it [22:09:02,  2.98it/s]tf.Tensor(2118.5112, shape=(), dtype=float32)
237412it [22:09:02,  2.98it/s]tf.Tensor(2939.5945, shape=(), dtype=float32)
237413it [22:09:02,  2.99it/s]tf.Tensor(4916.984, shape=(), dtype=float32)
237414it [22:09:03,  2.99it/s]tf.Tensor(3365.6836, shape=(), dtype=float32)
237415it [22:09:03,  2.96it/s]tf.Tensor(1847.5299, shape=(), dtype=float32)
237416it [22:09:03,  2.96it/s]tf.Tensor(2570.471, shape=(), dtype=float32)
237417it [22:09:04,  2.97it/s]tf.Tensor(1789.4602, shape=(), dtype=float32)
237418it [22:09:04,  2.97it/s]tf.Tensor(2400.293, shape=(), dtype=float32)
237419it [22:09:04,  3.01it/s]tf.Tensor(3070.7974, shape=(), dtype=float32)
237420it [22:09:05,  3.00it/s]tf.Tensor(2643.5554, shape=(), dtype=float32)
237421it [22:09:05,  2.98it/s]tf.Tensor(2222.367, shape=(), dtype=float32)
237422it [22:09:05,  2.98it/s]tf.Tensor(3390.6538, shape=(), dtype=float32)
237423it [22:09:06,  3.03it/s]tf.Tensor(2928.4429, shape=(), dtype=float32)
237424it [22:09:06,  3.01it/s]tf.Tensor(2279.4731, shape=(), dtype=float32)
237425it [22:09:06,  3.01it/s]tf.Tensor(1955.6512, shape=(), dtype=float32)
237426it [22:09:07,  3.01it/s]tf.Tensor(3471.2314, shape=(), dtype=float32)
237427it [22:09:07,  3.00it/s]tf.Tensor(2412.7463, shape=(), dtype=float32)
237428it [22:09:07,  3.00it/s]tf.Tensor(3284.1362, shape=(), dtype=float32)
237429it [22:09:08,  2.99it/s]tf.Tensor(2010.2673, shape=(), dtype=float32)
237430it [22:09:08,  2.99it/s]tf.Tensor(5013.2275, shape=(), dtype=float32)
237431it [22:09:08,  2.98it/s]tf.Tensor(2687.2747, shape=(), dtype=float32)
237432it [22:09:09,  2.99it/s]tf.Tensor(1951.7717, shape=(), dtype=float32)
